"units","year","gwp","F-gases","N2O","CH4","CO2-LULUCF","CO2-FFI"
"GtCO2e",1906,1,0.000864230071924646,NA,NA,NA,NA
"GtCO2e",1907,1,0.00111334095675088,NA,NA,NA,NA
"GtCO2e",1908,1,0.00103816022417113,NA,NA,NA,NA
"GtCO2e",1909,1,0.00128198796814082,NA,NA,NA,NA
"GtCO2e",1910,1,0.0021381395298197,NA,NA,NA,NA
"GtCO2e",1911,1,0.00246240982367514,NA,NA,NA,NA
"GtCO2e",1912,1,0.00274152242778452,NA,NA,NA,NA
"GtCO2e",1913,1,0.00323263575076453,NA,NA,NA,NA
"GtCO2e",1914,1,0.00342221152930572,NA,NA,NA,NA
"GtCO2e",1915,1,0.00373197255748717,NA,NA,NA,NA
"GtCO2e",1916,1,0.00480176228502012,NA,NA,NA,NA
"GtCO2e",1917,1,0.00596040579335616,NA,NA,NA,NA
"GtCO2e",1918,1,0.00630208620148151,NA,NA,NA,NA
"GtCO2e",1919,1,0.00599468852117344,NA,NA,NA,NA
"GtCO2e",1920,1,0.00582156763268126,NA,NA,NA,NA
"GtCO2e",1921,1,0.00417353638363282,NA,NA,NA,NA
"GtCO2e",1922,1,0.00327969175052927,NA,NA,NA,NA
"GtCO2e",1923,1,0.00578996465662249,NA,NA,NA,NA
"GtCO2e",1924,1,0.00788371641130951,NA,NA,NA,NA
"GtCO2e",1925,1,0.00840580093442113,NA,NA,NA,NA
"GtCO2e",1926,1,0.0088260663964308,NA,NA,NA,NA
"GtCO2e",1927,1,0.00976647267324598,NA,NA,NA,NA
"GtCO2e",1928,1,0.0113153819419617,NA,NA,NA,NA
"GtCO2e",1929,1,0.012928306317502,NA,NA,NA,NA
"GtCO2e",1930,1,0.0122304608638674,NA,NA,NA,NA
"GtCO2e",1931,1,0.00961309533756001,NA,NA,NA,NA
"GtCO2e",1932,1,0.00672867188829975,NA,NA,NA,NA
"GtCO2e",1933,1,0.00521175434621615,NA,NA,NA,NA
"GtCO2e",1934,1,0.00613933078356679,NA,NA,NA,NA
"GtCO2e",1935,1,0.00916930405686083,NA,NA,NA,NA
"GtCO2e",1936,1,0.0133437966192778,NA,NA,NA,NA
"GtCO2e",1937,1,0.0175838673260568,NA,NA,NA,NA
"GtCO2e",1938,1,0.021151505160616,NA,NA,NA,NA
"GtCO2e",1939,1,0.0247839570288362,NA,NA,NA,NA
"GtCO2e",1940,1,0.0272535476578071,NA,NA,NA,NA
"GtCO2e",1941,1,0.0318662519900048,NA,NA,NA,NA
"GtCO2e",1942,1,0.0416968516704506,NA,NA,NA,NA
"GtCO2e",1943,1,0.0549310260280471,NA,NA,NA,NA
"GtCO2e",1944,1,0.0534239915469258,NA,NA,NA,NA
"GtCO2e",1945,1,0.0287510140619323,NA,NA,NA,NA
"GtCO2e",1946,1,0.0145122763473483,NA,NA,NA,NA
"GtCO2e",1947,1,0.0199841188742927,NA,NA,NA,NA
"GtCO2e",1948,1,0.0254106607117404,NA,NA,NA,NA
"GtCO2e",1949,1,0.0256655708895859,NA,NA,NA,NA
"GtCO2e",1950,1,0.0266025488479069,NA,NA,NA,NA
"GtCO2e",1951,1,0.0327275902086078,NA,NA,NA,NA
"GtCO2e",1952,1,0.03865996316398,NA,NA,NA,NA
"GtCO2e",1953,1,0.0423854108356089,NA,NA,NA,NA
"GtCO2e",1954,1,0.0455778567790634,NA,NA,NA,NA
"GtCO2e",1955,1,0.0473689343536603,NA,NA,NA,NA
"GtCO2e",1956,1,0.0483474617825477,NA,NA,NA,NA
"GtCO2e",1957,1,0.047693372462011,NA,NA,NA,NA
"GtCO2e",1958,1,0.0473576113504107,NA,NA,NA,NA
"GtCO2e",1959,1,0.0501904884470834,NA,NA,NA,NA
"GtCO2e",1960,1,0.055924328385296,NA,NA,NA,NA
"GtCO2e",1961,1,0.0623210009381788,NA,NA,NA,NA
"GtCO2e",1962,1,0.0692655780859257,NA,NA,NA,NA
"GtCO2e",1963,1,0.0752014169931993,NA,NA,NA,NA
"GtCO2e",1964,1,0.0792070974334865,NA,NA,NA,NA
"GtCO2e",1965,1,0.0839210429264511,NA,NA,NA,NA
"GtCO2e",1966,1,0.0905132598791017,NA,NA,NA,NA
"GtCO2e",1967,1,0.102298336985754,NA,NA,NA,NA
"GtCO2e",1968,1,0.114219067772399,NA,NA,NA,NA
"GtCO2e",1969,1,0.123482597743333,NA,NA,NA,NA
"GtCO2e",1970,1,0.136095568625477,NA,NA,NA,NA
"GtCO2e",1971,1,0.151483984188797,NA,NA,NA,NA
"GtCO2e",1972,1,0.166669769555465,NA,NA,NA,NA
"GtCO2e",1973,1,0.183496723651675,NA,NA,NA,NA
"GtCO2e",1974,1,0.20486717014389,NA,NA,NA,NA
"GtCO2e",1975,1,0.212721609354614,NA,NA,NA,NA
"GtCO2e",1976,1,0.218510382878125,NA,NA,NA,NA
"GtCO2e",1977,1,0.242039064264367,NA,NA,NA,NA
"GtCO2e",1978,1,0.273084529862836,NA,NA,NA,NA
"GtCO2e",1979,1,0.351566869895342,NA,NA,NA,NA
"GtCO2e",1980,1,0.375586082513926,NA,NA,NA,NA
"GtCO2e",1981,1,0.321733652850216,NA,NA,NA,NA
"GtCO2e",1982,1,0.314702941574854,NA,NA,NA,NA
"GtCO2e",1983,1,0.331545739369825,NA,NA,NA,NA
"GtCO2e",1984,1,0.351181096864629,NA,NA,NA,NA
"GtCO2e",1985,1,0.379827572206418,NA,NA,NA,NA
"GtCO2e",1986,1,0.381385010570701,NA,NA,NA,NA
"GtCO2e",1987,1,0.380500598770804,NA,NA,NA,NA
"GtCO2e",1988,1,0.405280005491499,NA,NA,NA,NA
"GtCO2e",1989,1,0.421966684312402,NA,NA,NA,NA
"GtCO2e",1990,1,0.432690343150849,NA,NA,NA,NA
"GtCO2e",1991,1,0.423394796602607,NA,NA,NA,NA
"GtCO2e",1992,1,0.419611972778173,NA,NA,NA,NA
"GtCO2e",1993,1,0.439949244973906,NA,NA,NA,NA
"GtCO2e",1994,1,0.474384738460015,NA,NA,NA,NA
"GtCO2e",1995,1,0.521826287959592,NA,NA,NA,NA
"GtCO2e",1996,1,0.561902085756952,NA,NA,NA,NA
"GtCO2e",1997,1,0.598780510796823,NA,NA,NA,NA
"GtCO2e",1998,1,0.629853889408687,NA,NA,NA,NA
"GtCO2e",1999,1,0.649520546885829,NA,NA,NA,NA
"GtCO2e",2000,1,0.657584296434815,NA,NA,NA,NA
"GtCO2e",2001,1,0.675620282083439,NA,NA,NA,NA
"GtCO2e",2002,1,0.717940381676764,NA,NA,NA,NA
"GtCO2e",2003,1,0.779296414130935,NA,NA,NA,NA
"GtCO2e",2004,1,0.837433215314852,NA,NA,NA,NA
"GtCO2e",2005,1,0.885532870011773,NA,NA,NA,NA
"GtCO2e",2006,1,0.931416051374726,NA,NA,NA,NA
"GtCO2e",2007,1,0.963699271416215,NA,NA,NA,NA
"GtCO2e",2008,1,0.973772940317402,NA,NA,NA,NA
"GtCO2e",2009,1,0.989274647804535,NA,NA,NA,NA
"GtCO2e",2010,1,1.05645203175134,NA,NA,NA,NA
"GtCO2e",2011,1,1.13098571313268,NA,NA,NA,NA
"GtCO2e",2012,1,1.20555177433916,NA,NA,NA,NA
"GtCO2e",2013,1,1.28667071623683,NA,NA,NA,NA
"GtCO2e",2014,1,1.3517857873748,NA,NA,NA,NA
"GtCO2e",2015,1,1.40776726378854,NA,NA,NA,NA
"GtCO2e",2016,1,1.49391142047153,NA,NA,NA,NA
"GtCO2e",2017,1,1.60088845424377,NA,NA,NA,NA
"GtCO2e",2018,1,1.71185165115794,NA,NA,NA,NA
"GtCO2e",2019,1,1.7439976665774,NA,NA,NA,NA
"GtCO2e",2020,1,1.75557997473928,NA,NA,NA,NA
"GtCO2e",2021,1,1.82938872025485,NA,NA,NA,NA
"GtCO2e",2022,1,1.86508621295954,NA,NA,NA,NA
"GtCO2e",2023,1,1.88875717652373,NA,NA,NA,NA
"GtCO2e",2024,1,1.94931242520115,NA,NA,NA,NA
"MtCH4",1750,27.9,NA,NA,0.7513259913,NA,NA
"MtCH4",1751,27.9,NA,NA,0.753387048,NA,NA
"MtCH4",1752,27.9,NA,NA,0.7554475188,NA,NA
"MtCH4",1753,27.9,NA,NA,0.7575060366,NA,NA
"MtCH4",1754,27.9,NA,NA,0.7595639406,NA,NA
"MtCH4",1755,27.9,NA,NA,0.7616205612,NA,NA
"MtCH4",1756,27.9,NA,NA,0.7637926599,NA,NA
"MtCH4",1757,27.9,NA,NA,0.7658467416,NA,NA
"MtCH4",1758,27.9,NA,NA,0.7678995399,NA,NA
"MtCH4",1759,27.9,NA,NA,0.7699510827,NA,NA
"MtCH4",1760,27.9,NA,NA,0.7720006725,NA,NA
"MtCH4",1761,27.9,NA,NA,0.774050346,NA,NA
"MtCH4",1762,27.9,NA,NA,0.7759253376,NA,NA
"MtCH4",1763,27.9,NA,NA,0.7777990179,NA,NA
"MtCH4",1764,27.9,NA,NA,0.7796713869,NA,NA
"MtCH4",1765,27.9,NA,NA,0.7815424725,NA,NA
"MtCH4",1766,27.9,NA,NA,0.7836429519,NA,NA
"MtCH4",1767,27.9,NA,NA,0.7855114428,NA,NA
"MtCH4",1768,27.9,NA,NA,0.7873786224,NA,NA
"MtCH4",1769,27.9,NA,NA,0.7892445186,NA,NA
"MtCH4",1770,27.9,NA,NA,0.7911091035,NA,NA
"MtCH4",1771,27.9,NA,NA,0.7975931193,NA,NA
"MtCH4",1772,27.9,NA,NA,0.8038326195,NA,NA
"MtCH4",1773,27.9,NA,NA,0.8100702504,NA,NA
"MtCH4",1774,27.9,NA,NA,0.8163059841,NA,NA
"MtCH4",1775,27.9,NA,NA,0.8225398764,NA,NA
"MtCH4",1776,27.9,NA,NA,0.8290277982,NA,NA
"MtCH4",1777,27.9,NA,NA,0.835257924,NA,NA
"MtCH4",1778,27.9,NA,NA,0.8414861805,NA,NA
"MtCH4",1779,27.9,NA,NA,0.8477125398,NA,NA
"MtCH4",1780,27.9,NA,NA,0.8539377273,NA,NA
"MtCH4",1781,27.9,NA,NA,0.857554209,NA,NA
"MtCH4",1782,27.9,NA,NA,0.8608443444,NA,NA
"MtCH4",1783,27.9,NA,NA,0.864133308,NA,NA
"MtCH4",1784,27.9,NA,NA,0.8674197885,NA,NA
"MtCH4",1785,27.9,NA,NA,0.8707052367,NA,NA
"MtCH4",1786,27.9,NA,NA,0.874402461,NA,NA
"MtCH4",1787,27.9,NA,NA,0.8776841148,NA,NA
"MtCH4",1788,27.9,NA,NA,0.8809632576,NA,NA
"MtCH4",1789,27.9,NA,NA,0.8842412565,NA,NA
"MtCH4",1790,27.9,NA,NA,0.887517414,NA,NA
"MtCH4",1791,27.9,NA,NA,0.8890567686,NA,NA
"MtCH4",1792,27.9,NA,NA,0.8902275642,NA,NA
"MtCH4",1793,27.9,NA,NA,0.8913577374,NA,NA
"MtCH4",1794,27.9,NA,NA,0.8924813262,NA,NA
"MtCH4",1795,27.9,NA,NA,0.8936070912,NA,NA
"MtCH4",1796,27.9,NA,NA,0.8949132576,NA,NA
"MtCH4",1797,27.9,NA,NA,0.8962399305,NA,NA
"MtCH4",1798,27.9,NA,NA,0.897537699,NA,NA
"MtCH4",1799,27.9,NA,NA,0.8988916581,NA,NA
"MtCH4",1800,27.9,NA,NA,0.9002261151,NA,NA
"MtCH4",1801,27.9,NA,NA,0.9058449798,NA,NA
"MtCH4",1802,27.9,NA,NA,0.9125259975,NA,NA
"MtCH4",1803,27.9,NA,NA,0.9177158439,NA,NA
"MtCH4",1804,27.9,NA,NA,0.9240617547,NA,NA
"MtCH4",1805,27.9,NA,NA,0.9292244823,NA,NA
