"em","country","fuel","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022"
"N2O","ago","coal_coke","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","ago","diesel_oil","ktN2O",0.00239162941572987,0.0021551528283859,0.00330837128192996,0.0028123516489705,0.00277976186716741,0.00260961064168127,0.00250999515414819,0.00120116534990801,0.00447896974368876,0.00569749234843608,0.00704507146247422,0.00642833534560707,0.00437488083145869,0.00524146831572528,0.00757824561294023,0.00972607099894512,0.00830404505457436,0.00863960593033739,0.00892379996560414,0.00886201301242309,0.00792550996999991,0.00909017337242733,0.00878577675663881,0.00976901846875356,0.0091296363381732,0.00995612835167591,0.0123588257522046,0.0125932961088768,0.00953604905751713,0.012079546168196,0.01129773381771,0.013006937731125,0.0132975364900562,0.0322111683778171,0.0165519671758123,0.0138747033527685,0.0233987655041719,0.0278122024926368,0.0371557987062819,0.0474009136356789,0.0544696299261778,0.0600375203711823,0.0609423430338766,0.0859475294555803,0.0950550995731134,0.0939004928345638,0.0758686072439635,0.0610719872650623,0.0592358631038075,0.0679314517738596,0.030923700213044,0.0460164347719433,0.0464407743809215
"N2O","ago","hard_coal","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","ago","heavy_oil","ktN2O",0.0021958357949356,0.00234162465444732,0.00279094012778696,0.00302955573982081,0.00398069729368032,0.00378306936113886,0.00391821838178063,0.00367495014462544,0.00494535093865807,0.00488486681208064,0.00488486681208064,0.00488486681208064,0.00473575991607485,0.00482438268550322,0.00120934780151852,0.00179981016238335,0.00240124009591595,0.00201987869006444,0.0027252345101515,0.00297620909125689,0.00312954196094672,0.00247336739266171,0.00135012398197176,0.0010931456476968,0.00143328209453342,0.00138654003253895,0.00148824542777914,0.00120346732607034,0.00100048609866058,0.00206550786954907,0.00244263391800311,0.0028387601896266,0.00267632285424159,0.00605854860353782,0.00406422277867313,0.00336222857359502,0.00401094413240544,0.0047148220244271,0.00603456704052286,0.00882522010860748,0.00932605304124298,0.00905054120699104,0.010446505204753,0.0154359753796856,0.0209304008341298,0.0192235782984646,0.0228760698492806,0.0201139583518939,0.017707445777575,0.0209542947003834,0.016676948210697,0.0210487882707069,0.0285769719004816
"N2O","ago","light_oil","ktN2O",0.0239682045397119,0.0238420099462856,0.0468677583046497,0.0417707016026656,0.035208892928381,0.0183540300515924,0.0215706763889325,0.0301564666242304,0.0380593512726459,0.0339619177513515,0.0380297760715774,0.0350556417291425,0.0345905129375314,0.0302010970220638,0.0441572928473735,0.0438854564438455,0.0458043696350896,0.0462378794135836,0.0510100471384787,0.0506237131547582,0.0480164751570717,0.0486045449837834,0.0506886361183861,0.0536213253507159,0.0682486441699452,0.0473303009688039,0.0409571609891514,0.037756103382776,0.0296844828455349,0.0410790021363026,0.0395690106237518,0.0442596626379385,0.0540846916685293,0.0767529374011748,0.104327870937513,0.0764088902942867,0.107092565995745,0.12123749298538,0.176492787398275,0.204564335248891,0.202846967397523,0.237302585937512,0.265246041884201,0.280378585317234,0.284041292086446,0.241258606939279,0.188850763513561,0.162828504971731,0.163239817315608,0.166285045478267,0.139381212631306,0.250603502658373,0.259390713275249
"N2O","ago","natural_gas","ktN2O",0.00014759407217675,0.000160930014792236,0.000213198702552528,0.000243217233321282,0.000254534123515253,0.000243217233321282,0.000211951926514209,0.000264508331821804,0.000264508331821804,0.000264508331821804,0.000287813453153457,0.00033557456600598,0.00033557456600598,0.000383335678858503,0.000431480415107432,0.000431480415107432,0.000479241527959955,0.000575243282910507,0.000584833867820655,0.000623388019159436,0.00196798802356179,0.002113764914196,0.00207732069153745,0.0019675795892766,0.00202699240117896,0.00205502117601229,0.00203002155241917,0.00207176454990212,0.00212835233956319,0.00204261997776867,0.00207814635311265,0.00193355540479686,0.00218812517677964,0.00235565548246031,0.00270973990547012,0.00235708478014292,0.00249703758218902,0.00306720057258667,0.00251365931509627,0.00253072769168382,0.00270414166856921,0.00273643790175156,0.00279289835017198,0.00133462190522817,0.000922623599548643,0.00270527773552392,0.00253266141521554,0.00185364083824075,0.00331925719002258,0.0198509833925036,0.0197822382596247,0.0203790138769491,0.00697449795988416
"N2O","ago","process","ktN2O",5.57447161782275,6.04352007436078,6.26668137851045,6.35855644700011,6.44991168531805,6.46864239942318,6.13119160394227,6.60424531210778,6.813812673295,7.04929597036221,7.25219135416824,7.27304331438136,10.1828277484609,10.1085239816818,9.6817354297797,10.959080502955,10.7853958784167,10.4358898893286,9.61224607291248,10.3343356426612,10.3466749541938,9.89759284510701,10.5216424915762,10.2669015985093,10.0411240760042,10.0922911262726,11.022169743962,10.7192117339576,12.2413740030069,11.5195715760446,11.7397787614901,12.7031636147111,11.6318777826433,11.8821106575687,12.1293056173591,12.690703425786,13.1531488704141,13.3508927401266,13.8759765766665,14.4681951718466,15.1553975949057,15.3295841209478,16.3474236108086,16.779009217649,17.6427868287082,19.1572449930253,19.0764174141914,18.2214390105784,18.3106036287473,18.6138490620232,19.0524515244113,19.0091964029257,19.0226892279623
"N2O","alb","biomass","ktN2O",0.131095903441802,0.132240059337887,0.13304959358833,0.131519585814791,0.131008926154654,0.130014867354054,0.128518529179066,0.126541229542528,0.124084696715329,0.121180615640929,0.117895898595486,0.114242010922203,0.110526744960737,0.106637362846461,0.10254287428114,0.0982803672729538,0.0935985604594536,0.0887888055425812,0.0841765071952364,0.0799523434101944,0.0767151849438091,0.0705628580491891,0.0638839296621469,0.0605309195087299,0.0575304042144328,0.0536017783858949,0.0516039759594115,0.0483499807917142,0.0464621692525745,0.115986235871813,0.115198513404696,0.116415484264668,0.10852183163998,0.111741168573903,0.0530288767400385,0.0887793033297581,0.146035433764185,0.0789209435938157,0.0748905272878203,0.072368495294296,0.0711929302395987,0.0835600642832352,0.0778284877546697,0.0800846398622411,0.0796913795947727,0.0844263311957114,0.0730957749097911,0.0667681973244746,0.0649254441860878,0.064075695151819,0.0643117436625747,0.0605886810266117,0.0605886810266117
"N2O","alb","brown_coal","ktN2O",0.0164183845104199,0.018399265601027,0.0199855191533029,0.0218371547366371,0.0228583896136222,0.0239549762731303,0.024016164304519,0.0252553805305024,0.0317772278007657,0.03711415320177,0.0376451310240342,0.0408038507792571,0.0450245261790086,0.0491222353540294,0.053505793823954,0.0575076839526065,0.0560465684611412,0.058934569507833,0.058895028792716,0.0459201339035938,0.0339195283680834,0.0181337928973657,0.00500730318694809,0.00325333257909056,0.00463953515626828,0.00186713000191285,0.0031967528820629,0.00110330409203941,0.00138620257717772,0.00267049945574123,0.00157399553870839,0.0017951311237124,0.00145147844215628,0.00151825430884341,0.00179531066956268,0.00179214406580653,0.00231647508191731,0.00203775553166062,0.00285918295758947,0.000584674714109858,0.000590746870719859,0.000348338580244785,0.000326573955602372,0.00020713804267463,0,0,0,0,0,0,0,0,0
"N2O","alb","coal_coke","ktN2O",0.000139222361215024,0.000173280062801509,0.000202160073268427,0.000173280062801509,0.000144400052334591,0.000173280062801509,0.000144400052334591,0.000144400052334591,0.000144400052334591,0.000202160073268427,0.000144400052334591,0.000144400052334591,0.000144400052334591,0.000173280062801509,0.000173280062801509,0.000173280062801509,0.000173280062801509,0.000202160073268427,0.000202160073268427,0.000202160073268427,0.000231040083735345,0.000202160073268427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","alb","diesel_oil","ktN2O",0.00184546201728304,0.000554923283474463,0.000612329140385614,0.000665907940169356,0.000688870282933816,0.000708005568570867,0.000788373768246479,0.000811336111010939,0.00084195256803022,0.000956764281852523,0.00114811713822303,0.000478382140926261,0.000574058569111514,0.000669734997296766,0.00086108785366727,0.00086108785366727,0.00086108785366727,0.00086108785366727,0.00086108785366727,0.00086108785366727,0.00253123776212385,0.00192061870906159,0.00120954340907146,0.00100993884748553,0.00102247828781787,0.000940331894639914,0.000852258587743554,0.000478749787587452,0.0014023260579385,0.0486861016037488,0.0465558491898415,0.0451496765879605,0.0459425003317345,0.0463773718819212,0.0335252740206227,0.036335002922342,0.0438888773528146,0.0444253156311377,0.0609930429076871,0.0179195381476532,0.0157782163971866,0.0219852982080959,0.0217094159292607,0.0256228615738569,0.0267512575211631,0.0264223662758679,0.0268286752294065,0.027583868753686,0.0273965035409564,0.027477475372152,0.0228202876616917,0.0243348944716703,0.0242388885555675
"N2O","alb","hard_coal","ktN2O",0,0.00184832066988276,0.00181944065941584,0.0020793607536181,0.00213712077455194,0.00245480088968804,0.00280136101529106,0.00320568116182791,0.00412984149676929,0.00684456248065959,0.00389880141303394,0.00355224128743093,0.00467856169564073,0.00490960177937608,0.00514064186311142,0.00540056195731368,0.00563160204104903,0.00563160204104903,0.00586264212478438,0.0138403794056847,0.014512881913767,0.00869453986069856,0.00249072491835765,0.00107501424352558,5.6579697027662e-05,0.000169739091082986,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00501486632131028,0.0051884969767743,0.00679514343281705,0.00365638839282105,0.00331200069996688,0.00413985677531657,0.00617452702887024,0.00283440006923291,0.0067804396580767,0.012981359011974,0.00670395446364853,0.00808589636416036,0.0122396222471538,0.0120821711722168
