"em","country","sector","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"N2O","som","1A1a_Heat-production","ktN2O",6.82648524195385e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00144488783954727,0.00182262034706514,0.00180366105239217,0.00181065713931762,0.0018603854351568,0.00186490692524619,0.00193217994378591,0.00265895212181797,0.00240778959198675,0.00246026515023897,0.00234798745915354,0.0024576910961762,0.00247719927560066,0.00228005637387942,0.00205733390508995,0.00183159140411017,0.00210681155214404,0.00225494727854306,0.00228986873383543,0,0,0,0,9.68103678707262e-06,1.01793888947321e-05,1.01801855426458e-05,9.68060010269805e-06,9.69510460292116e-06,9.71213111751372e-06,9.73109382589511e-06,1.02655271352598e-05,1.02655271352598e-05
"N2O","som","1A1bc_Other-transformation","ktN2O",7.909539622343e-05,7.90953962234302e-05,8.14922264120189e-05,8.14922264120189e-05,9.10795471663739e-05,7.90953962234299e-05,7.90953962234302e-05,8.1492226412019e-05,8.3889056600608e-05,9.58732075435521e-05,0.0001078573584865,4.213367087745e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","som","1A2a_Ind-Comb-Iron-steel","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","som","1A2b_Ind-Comb-Non-ferrous-metals","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","som","1A2c_Ind-Comb-Chemicals","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","som","1A2d_Ind-Comb-Pulp-paper","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","som","1A2e_Ind-Comb-Food-tobacco","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00344959865631422,0.00367098972835299,0.00248689710713236,0.00229925123040751,0.00231296121544431,0.0020303264262182,0.00192832846489737,0.00186647812359393,0.00161935813551707,0.000945261044973279,0.00079222303588519,0.000805646237599303,0.000875697629653784,0.00104100555730357,0.00104145235044482,0.000986210007872135,0.00104838012461615,0.0009575678745209,0.000993569699426674,0.00098778837224165,0.00100995812910817,0.00107400147456357,0.001051975961348,0.00112421665282031,0.00108875673073557,0.00111308889386787,0.00115770944435904,0.00114564328493635,0.00117067367387858,0.00118139563954828,0.00119212834964326,0.00121685047481599,0.00123587774772089,0.00123457168862252
"N2O","som","1A2f_Ind-Comb-Non-metalic-minerals","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","som","1A2g_Ind-Comb-Construction","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09415057287891e-06,0,0,2.16285057865115e-06,2.03701828215245e-06,1.85049419780229e-06,1.82318465895582e-06,1.73883789500888e-06,0,1.66487658794712e-06,0,0,0,0,0,0,1.15690399472819e-05,1.15690399472819e-05,9.91631995481311e-06,9.91631995481311e-06,9.42204855519624e-06
"N2O","som","1A2g_Ind-Comb-machinery","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
